DATAFLOW,REF_AREA,MEASURE,SEX,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MEASURE,UNIT_MULT
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,LEI,F,269,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,PCA,F,666,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,UPW,F,311,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,PAW,F,172,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,OTH,M,18.0627177700348,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,LEI,M,297.031358885017,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,PCA,M,649.254355400697,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,UPW,M,171.595818815331,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,PAW,M,304.05574912892,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,OTH,_T,20.0138985406532,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,LEI,_T,281.195274496178,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,PCA,_T,657.456567060459,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,UPW,_T,243.168867268937,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUS,PAW,_T,238.165392633774,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,OTH,M,10.29041,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,OTH,F,13.43353,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,LEI,_T,306.87112,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,LEI,M,321.9786,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,LEI,F,291.65012,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,PCA,_T,667.66179,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,PCA,M,657.36157,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,PCA,F,678.03942,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,UPW,_T,187.97064,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,UPW,M,138.51473,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,UPW,F,237.79821,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,PAW,_T,265.64036,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,PAW,M,311.85469,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),AUT,PAW,F,219.07872,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,LEI,_T,339.350143735728,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,PCA,_T,664.046350849856,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,UPW,_T,191.820156132893,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,OTH,F,9.03426738223147,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,LEI,F,316.706652420455,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,PCA,F,677.39721737857,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,UPW,F,237.322972016499,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,PAW,F,199.232497362733,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,PAW,_T,235.75362369589,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,OTH,M,8.49297181254282,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,LEI,M,365.173129943823,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,PCA,M,648.457437883643,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,UPW,M,144.172378478972,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),BEL,PAW,M,273.704081881019,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,OTH,M,31.7075201869011,0,D,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,LEI,M,225.542171895504,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,PCA,M,647.910270988941,0,A,MN_D,0
